t_s,altitude_m,velocity_mps,accel_mps2,mass_kg,thrust_N,drag_N,cd,mach,q_Pa,cg_mm,static_margin_cal,phase
0.0000,0.000,0.000,0.000,1.21070,0.00,0.000,1.1758,0.0000,0.0,696.42,2.6348,pad
0.0010,0.000,0.000,0.000,1.21070,2.00,0.000,1.1508,0.0000,0.0,696.42,2.6348,pad
0.0020,0.000,0.000,0.000,1.21070,4.00,0.000,1.1508,0.0000,0.0,696.42,2.6348,pad
0.0030,0.000,0.000,0.000,1.21070,6.00,0.000,1.1508,0.0000,0.0,696.42,2.6348,pad
0.0040,0.000,0.000,0.000,1.21069,8.00,0.000,1.1508,0.0000,0.0,696.42,2.6348,pad
0.0050,0.000,0.000,0.000,1.21069,10.00,0.000,1.1508,0.0000,0.0,696.42,2.6348,pad
0.0060,0.000,0.000,0.105,1.21068,12.00,0.000,1.1508,0.0000,0.0,696.42,2.6348,rail
0.0070,0.000,0.001,1.757,1.21068,14.00,0.000,1.1508,0.0000,0.0,696.41,2.6349,rail
0.0080,0.000,0.004,3.409,1.21067,16.00,0.000,1.1508,0.0000,0.0,696.41,2.6349,rail
0.0090,0.000,0.008,5.061,1.21066,18.00,0.000,1.1508,0.0000,0.0,696.41,2.6349,rail
0.0100,0.000,0.014,6.713,1.21065,20.00,0.000,1.1508,0.0000,0.0,696.41,2.6350,rail
0.0110,0.000,0.021,8.366,1.21064,22.00,0.000,1.1508,0.0001,0.0,696.40,2.6350,rail
0.0120,0.000,0.030,10.018,1.21063,24.00,0.000,1.1508,0.0001,0.0,696.40,2.6351,rail
0.0130,0.000,0.041,11.670,1.21062,26.00,0.000,1.1508,0.0001,0.0,696.40,2.6352,rail
0.0140,0.000,0.054,13.322,1.21061,28.00,0.000,1.1508,0.0002,0.0,696.39,2.6352,rail
0.0150,0.000,0.068,14.975,1.21059,30.00,0.000,1.1508,0.0002,0.0,696.39,2.6353,rail
0.0160,0.000,0.084,16.627,1.21058,32.00,0.000,1.1508,0.0002,0.0,696.38,2.6354,rail
0.0170,0.000,0.101,18.279,1.21056,34.00,0.000,1.1508,0.0003,0.0,696.38,2.6354,rail
0.0180,0.000,0.120,19.932,1.21055,36.00,0.000,1.1508,0.0004,0.0,696.37,2.6355,rail
0.0190,0.001,0.141,21.585,1.21053,38.00,0.000,1.1306,0.0004,0.0,696.37,2.6356,rail
0.0200,0.001,0.163,23.237,1.21051,40.00,0.000,1.1011,0.0005,0.0,696.36,2.6357,rail
0.0210,0.001,0.187,24.890,1.21049,42.00,0.000,1.0745,0.0006,0.0,696.35,2.6358,rail
0.0220,0.001,0.213,26.543,1.21047,44.00,0.000,1.0502,0.0006,0.0,696.35,2.6359,rail
0.0230,0.001,0.241,28.196,1.21045,46.00,0.000,1.0280,0.0007,0.0,696.34,2.6360,rail
0.0240,0.002,0.270,29.849,1.21043,48.00,0.000,1.0075,0.0008,0.0,696.33,2.6361,rail
0.0250,0.002,0.300,31.502,1.21040,50.00,0.000,0.9885,0.0009,0.1,696.32,2.6362,rail
0.0260,0.002,0.333,33.155,1.21038,52.00,0.000,0.9709,0.0010,0.1,696.32,2.6363,rail
0.0270,0.003,0.367,34.808,1.21035,54.00,0.000,0.9545,0.0011,0.1,696.31,2.6365,rail
0.0280,0.003,0.402,36.462,1.21033,56.00,0.000,0.9391,0.0012,0.1,696.30,2.6366,rail
0.0290,0.003,0.439,38.115,1.21030,58.00,0.000,0.9247,0.0013,0.1,696.29,2.6367,rail
0.0300,0.004,0.478,39.769,1.21027,60.00,0.000,0.9111,0.0014,0.1,696.28,2.6369,rail
0.0310,0.004,0.519,41.422,1.21024,62.00,0.001,0.8983,0.0015,0.2,696.27,2.6370,rail
0.0320,0.005,0.561,43.076,1.21021,64.00,0.001,0.8862,0.0016,0.2,696.26,2.6372,rail
0.0330,0.005,0.605,44.730,1.21018,66.00,0.001,0.8747,0.0018,0.2,696.25,2.6373,rail
0.0340,0.006,0.651,46.384,1.21015,68.00,0.001,0.8638,0.0019,0.3,696.24,2.6375,rail
0.0350,0.007,0.698,48.038,1.21012,70.00,0.001,0.8534,0.0021,0.3,696.23,2.6376,rail
0.0360,0.007,0.747,49.693,1.21008,72.00,0.001,0.8435,0.0022,0.3,696.22,2.6378,rail
0.0370,0.008,0.797,51.347,1.21005,74.00,0.001,0.8341,0.0023,0.4,696.21,2.6380,rail
0.0380,0.009,0.849,53.002,1.21001,76.00,0.001,0.8251,0.0025,0.4,696.20,2.6381,rail
0.0390,0.010,0.903,54.656,1.20998,78.00,0.001,0.8164,0.0027,0.5,696.19,2.6383,rail
0.0400,0.011,0.959,56.311,1.20994,80.00,0.002,0.8082,0.0028,0.6,696.17,2.6385,rail
0.0410,0.012,1.016,57.966,1.20990,82.00,0.002,0.8002,0.0030,0.6,696.16,2.6387,rail
0.0420,0.013,1.075,59.621,1.20986,84.00,0.002,0.7926,0.0032,0.7,696.15,2.6389,rail
0.0430,0.014,1.135,61.276,1.20982,86.00,0.002,0.7853,0.0033,0.8,696.13,2.6391,rail
0.0440,0.015,1.197,62.932,1.20978,88.00,0.002,0.7782,0.0035,0.9,696.12,2.6393,rail
0.0450,0.016,1.261,64.588,1.20974,90.00,0.003,0.7714,0.0037,1.0,696.11,2.6395,rail
0.0460,0.018,1.326,66.243,1.20969,92.00,0.003,0.7648,0.0039,1.1,696.09,2.6397,rail
0.0470,0.019,1.394,67.899,1.20965,94.00,0.003,0.7585,0.0041,1.2,696.08,2.6399,rail
0.0480,0.020,1.462,69.555,1.20960,96.00,0.003,0.7523,0.0043,1.3,696.06,2.6402,rail
0.0490,0.022,1.533,71.212,1.20956,98.00,0.004,0.7464,0.0045,1.4,696.05,2.6404,rail
0.0500,0.024,1.605,72.868,1.20951,100.00,0.004,0.7406,0.0047,1.6,696.03,2.6406,rail
0.0510,0.025,1.678,72.851,1.20946,99.98,0.004,0.7351,0.0049,1.7,696.02,2.6409,rail
0.0520,0.027,1.750,72.834,1.20942,99.95,0.005,0.7299,0.0051,1.9,696.00,2.6411,rail
0.0530,0.029,1.823,72.817,1.20937,99.93,0.005,0.7249,0.0054,2.0,695.99,2.6413,rail
0.0540,0.031,1.896,72.800,1.20932,99.90,0.005,0.7202,0.0056,2.2,695.97,2.6416,rail
0.0550,0.032,1.969,72.784,1.20927,99.88,0.006,0.7157,0.0058,2.4,695.96,2.6418,rail
0.0560,0.035,2.042,72.767,1.20923,99.86,0.006,0.7114,0.0060,2.6,695.94,2.6420,rail
0.0570,0.037,2.114,72.750,1.20918,99.83,0.007,0.7072,0.0062,2.7,695.92,2.6423,rail
0.0580,0.039,2.187,72.733,1.20913,99.81,0.007,0.7033,0.0064,2.9,695.91,2.6425,rail
0.0590,0.041,2.260,72.716,1.20908,99.78,0.007,0.6995,0.0066,3.1,695.89,2.6428,rail
0.0600,0.043,2.333,72.699,1.20904,99.76,0.008,0.6958,0.0069,3.3,695.88,2.6430,rail
0.0610,0.046,2.405,72.682,1.20899,99.74,0.008,0.6922,0.0071,3.5,695.86,2.6432,rail
0.0620,0.048,2.478,72.665,1.20894,99.71,0.009,0.6888,0.0073,3.8,695.85,2.6435,rail
0.0630,0.051,2.551,72.648,1.20889,99.69,0.009,0.6856,0.0075,4.0,695.83,2.6437,rail
0.0640,0.053,2.623,72.631,1.20885,99.66,0.010,0.6824,0.0077,4.2,695.82,2.6439,rail
0.0650,0.056,2.696,72.614,1.20880,99.64,0.010,0.6793,0.0079,4.5,695.80,2.6442,rail
0.0660,0.059,2.768,72.597,1.20875,99.62,0.011,0.6763,0.0081,4.7,695.79,2.6444,rail
0.0670,0.061,2.841,72.580,1.20871,99.59,0.011,0.6735,0.0083,4.9,695.77,2.6446,rail
0.0680,0.064,2.914,72.562,1.20866,99.57,0.012,0.6707,0.0086,5.2,695.75,2.6449,rail
0.0690,0.067,2.986,72.545,1.20861,99.54,0.012,0.6679,0.0088,5.5,695.74,2.6451,rail
0.0700,0.070,3.059,72.528,1.20856,99.52,0.013,0.6653,0.0090,5.7,695.72,2.6453,rail
0.0710,0.073,3.131,72.511,1.20852,99.50,0.014,0.6628,0.0092,6.0,695.71,2.6456,rail
0.0720,0.076,3.204,72.494,1.20847,99.47,0.014,0.6603,0.0094,6.3,695.69,2.6458,rail
0.0730,0.080,3.276,72.477,1.20842,99.45,0.015,0.6579,0.0096,6.6,695.68,2.6460,rail
0.0740,0.083,3.349,72.460,1.20837,99.42,0.015,0.6555,0.0098,6.9,695.66,2.6463,rail
0.0750,0.086,3.421,72.443,1.20833,99.40,0.016,0.6532,0.0101,7.2,695.65,2.6465,rail
0.0760,0.090,3.494,72.425,1.20828,99.38,0.017,0.6510,0.0103,7.5,695.63,2.6467,rail
0.0770,0.093,3.566,72.408,1.20823,99.35,0.017,0.6488,0.0105,7.8,695.61,2.6470,rail
0.0780,0.097,3.638,72.391,1.20819,99.33,0.018,0.6467,0.0107,8.1,695.60,2.6472,rail
0.0790,0.101,3.711,72.374,1.20814,99.30,0.019,0.6446,0.0109,8.4,695.58,2.6474,rail
0.0800,0.104,3.783,72.357,1.20809,99.28,0.019,0.6426,0.0111,8.8,695.57,2.6477,rail
0.0810,0.108,3.855,72.339,1.20804,99.26,0.020,0.6406,0.0113,9.1,695.55,2.6479,rail
0.0820,0.112,3.928,72.322,1.20800,99.23,0.021,0.6386,0.0115,9.4,695.54,2.6481,rail
0.0830,0.116,4.000,72.305,1.20795,99.21,0.021,0.6367,0.0118,9.8,695.52,2.6484,rail
0.0840,0.120,4.072,72.288,1.20790,99.18,0.022,0.6349,0.0120,10.2,695.51,2.6486,rail
0.0850,0.124,4.145,72.270,1.20786,99.16,0.023,0.6331,0.0122,10.5,695.49,2.6488,rail
0.0860,0.128,4.217,72.253,1.20781,99.14,0.024,0.6313,0.0124,10.9,695.48,2.6491,rail
0.0870,0.133,4.289,72.236,1.20776,99.11,0.024,0.6296,0.0126,11.3,695.46,2.6493,rail
0.0880,0.137,4.361,72.219,1.20771,99.09,0.025,0.6279,0.0128,11.7,695.44,2.6496,rail
0.0890,0.141,4.434,72.201,1.20767,99.06,0.026,0.6262,0.0130,12.0,695.43,2.6498,rail
0.0900,0.146,4.506,72.184,1.20762,99.04,0.027,0.6246,0.0132,12.4,695.41,2.6500,rail
0.0910,0.150,4.578,72.167,1.20757,99.02,0.027,0.6229,0.0135,12.8,695.40,2.6503,rail
0.0920,0.155,4.650,72.149,1.20753,98.99,0.028,0.6214,0.0137,13.2,695.38,2.6505,rail
0.0930,0.160,4.722,72.132,1.20748,98.97,0.029,0.6198,0.0139,13.7,695.37,2.6507,rail
0.0940,0.164,4.794,72.115,1.20743,98.94,0.030,0.6183,0.0141,14.1,695.35,2.6510,rail
0.0950,0.169,4.866,72.097,1.20738,98.92,0.031,0.6168,0.0143,14.5,695.34,2.6512,rail
0.0960,0.174,4.939,72.080,1.20734,98.90,0.031,0.6154,0.0145,14.9,695.32,2.6514,rail
0.0970,0.179,5.011,72.062,1.20729,98.87,0.032,0.6139,0.0147,15.4,695.31,2.6517,rail
0.0980,0.184,5.083,72.045,1.20724,98.85,0.033,0.6125,0.0149,15.8,695.29,2.6519,rail
0.0990,0.189,5.155,72.028,1.20720,98.82,0.034,0.6111,0.0151,16.3,695.28,2.6521,rail
0.1000,0.195,5.227,72.010,1.20715,98.80,0.035,0.6098,0.0154,16.7,695.26,2.6524,rail
0.1010,0.200,5.299,71.993,1.20710,98.78,0.036,0.6084,0.0156,17.2,695.24,2.6526,rail
0.1020,0.205,5.371,71.975,1.20706,98.75,0.037,0.6071,0.0158,17.7,695.23,2.6528,rail
0.1030,0.211,5.443,71.958,1.20701,98.73,0.038,0.6058,0.0160,18.1,695.21,2.6531,rail
0.1040,0.216,5.515,71.940,1.20696,98.70,0.039,0.6045,0.0162,18.6,695.20,2.6533,rail
0.1050,0.222,5.587,71.923,1.20692,98.68,0.039,0.6033,0.0164,19.1,695.18,2.6535,rail
0.1060,0.227,5.658,71.905,1.20687,98.66,0.040,0.6020,0.0166,19.6,695.17,2.6538,rail
0.1070,0.233,5.730,71.888,1.20682,98.63,0.041,0.6008,0.0168,20.1,695.15,2.6540,rail
0.1080,0.239,5.802,71.870,1.20677,98.61,0.042,0.5996,0.0171,20.6,695.14,2.6542,rail
0.1090,0.244,5.874,71.853,1.20673,98.58,0.043,0.5984,0.0173,21.1,695.12,2.6545,rail
0.1100,0.250,5.946,71.835,1.20668,98.56,0.044,0.5973,0.0175,21.7,695.11,2.6547,rail
0.1110,0.256,6.018,71.818,1.20663,98.54,0.045,0.5961,0.0177,22.2,695.09,2.6549,rail
0.1120,0.262,6.090,71.800,1.20659,98.51,0.046,0.5950,0.0179,22.7,695.07,2.6552,rail
0.1130,0.269,6.161,71.783,1.20654,98.49,0.047,0.5939,0.0181,23.3,695.06,2.6554,rail
0.1140,0.275,6.233,71.765,1.20649,98.46,0.048,0.5928,0.0183,23.8,695.04,2.6556,rail
0.1150,0.281,6.305,71.747,1.20645,98.44,0.049,0.5917,0.0185,24.3,695.03,2.6559,rail
0.1160,0.287,6.377,71.730,1.20640,98.42,0.050,0.5906,0.0187,24.9,695.01,2.6561,rail
0.1170,0.294,6.448,71.712,1.20635,98.39,0.051,0.5896,0.0189,25.5,695.00,2.6563,rail
0.1180,0.300,6.520,71.695,1.20631,98.37,0.052,0.5885,0.0192,26.0,694.98,2.6566,rail
0.1190,0.307,6.592,71.677,1.20626,98.34,0.053,0.5875,0.0194,26.6,694.97,2.6568,rail
0.1200,0.313,6.663,71.659,1.20621,98.32,0.055,0.5865,0.0196,27.2,694.95,2.6570,rail
0.1210,0.320,6.735,71.642,1.20617,98.30,0.056,0.5855,0.0198,27.8,694.94,2.6572,rail
0.1220,0.327,6.807,71.624,1.20612,98.27,0.057,0.5845,0.0200,28.4,694.92,2.6575,rail
0.1230,0.334,6.878,71.606,1.20607,98.25,0.058,0.5835,0.0202,29.0,694.91,2.6577,rail
0.1240,0.341,6.950,71.589,1.20603,98.22,0.059,0.5826,0.0204,29.6,694.89,2.6579,rail
0.1250,0.348,7.022,71.571,1.20598,98.20,0.060,0.5816,0.0206,30.2,694.88,2.6582,rail
0.1260,0.355,7.093,71.553,1.20593,98.18,0.061,0.5807,0.0208,30.8,694.86,2.6584,rail
0.1270,0.362,7.165,71.536,1.20589,98.15,0.062,0.5798,0.0211,31.4,694.84,2.6586,rail
0.1280,0.369,7.236,71.518,1.20584,98.13,0.064,0.5788,0.0213,32.1,694.83,2.6589,rail
0.1290,0.376,7.308,71.500,1.20579,98.10,0.065,0.5779,0.0215,32.7,694.81,2.6591,rail
0.1300,0.384,7.379,71.483,1.20575,98.08,0.066,0.5771,0.0217,33.4,694.80,2.6593,rail
0.1310,0.391,7.451,71.465,1.20570,98.06,0.067,0.5762,0.0219,34.0,694.78,2.6596,rail
0.1320,0.399,7.522,71.447,1.20565,98.03,0.068,0.5753,0.0221,34.7,694.77,2.6598,rail
0.1330,0.406,7.594,71.429,1.20561,98.01,0.069,0.5744,0.0223,35.3,694.75,2.6600,rail
0.1340,0.414,7.665,71.411,1.20556,97.98,0.071,0.5736,0.0225,36.0,694.74,2.6603,rail
0.1350,0.421,7.736,71.394,1.20551,97.96,0.072,0.5727,0.0227,36.7,694.72,2.6605,rail
0.1360,0.429,7.808,71.376,1.20547,97.94,0.073,0.5719,0.0229,37.3,694.71,2.6607,rail
0.1370,0.437,7.879,71.358,1.20542,97.91,0.074,0.5711,0.0232,38.0,694.69,2.6610,rail
0.1380,0.445,7.950,71.340,1.20537,97.89,0.076,0.5703,0.0234,38.7,694.68,2.6612,rail
0.1390,0.453,8.022,71.322,1.20533,97.86,0.077,0.5695,0.0236,39.4,694.66,2.6614,rail
0.1400,0.461,8.093,71.305,1.20528,97.84,0.078,0.5687,0.0238,40.1,694.65,2.6617,rail
0.1410,0.469,8.164,71.287,1.20523,97.82,0.079,0.5679,0.0240,40.8,694.63,2.6619,rail
0.1420,0.477,8.236,71.269,1.20519,97.79,0.081,0.5671,0.0242,41.5,694.61,2.6621,rail
0.1430,0.486,8.307,71.251,1.20514,97.77,0.082,0.5663,0.0244,42.3,694.60,2.6624,rail
0.1440,0.494,8.378,71.233,1.20510,97.74,0.083,0.5656,0.0246,43.0,694.58,2.6626,rail
0.1450,0.502,8.449,71.215,1.20505,97.72,0.084,0.5648,0.0248,43.7,694.57,2.6628,rail
0.1460,0.511,8.521,71.197,1.20500,97.70,0.086,0.5641,0.0250,44.5,694.55,2.6631,rail
0.1470,0.519,8.592,71.180,1.20496,97.67,0.087,0.5633,0.0252,45.2,694.54,2.6633,rail
0.1480,0.528,8.663,71.162,1.20491,97.65,0.088,0.5626,0.0255,46.0,694.52,2.6635,rail
0.1490,0.537,8.734,71.144,1.20486,97.62,0.090,0.5619,0.0257,46.7,694.51,2.6637,rail
0.1500,0.546,8.805,71.126,1.20482,97.60,0.091,0.5612,0.0259,47.5,694.49,2.6640,rail
0.1510,0.554,8.876,71.108,1.20477,97.58,0.093,0.5605,0.0261,48.3,694.48,2.6642,rail
0.1520,0.563,8.947,71.090,1.20472,97.55,0.094,0.5598,0.0263,49.0,694.46,2.6644,rail
0.1530,0.572,9.019,71.072,1.20468,97.53,0.095,0.5591,0.0265,49.8,694.45,2.6647,rail
0.1540,0.581,9.090,71.054,1.20463,97.50,0.097,0.5584,0.0267,50.6,694.43,2.6649,rail
0.1550,0.590,9.161,71.036,1.20459,97.48,0.098,0.5577,0.0269,51.4,694.42,2.6651,rail
0.1560,0.600,9.232,71.018,1.20454,97.46,0.099,0.5570,0.0271,52.2,694.40,2.6654,rail
0.1570,0.609,9.303,71.000,1.20449,97.43,0.101,0.5563,0.0273,53.0,694.39,2.6656,rail
0.1580,0.618,9.374,70.982,1.20445,97.41,0.102,0.5557,0.0275,53.8,694.37,2.6658,rail
0.1590,0.628,9.445,70.964,1.20440,97.38,0.104,0.5550,0.0278,54.6,694.35,2.6661,rail
0.1600,0.637,9.516,70.946,1.20435,97.36,0.105,0.5544,0.0280,55.5,694.34,2.6663,rail
0.1610,0.647,9.587,70.928,1.20431,97.34,0.107,0.5537,0.0282,56.3,694.32,2.6665,rail
0.1620,0.656,9.657,70.910,1.20426,97.31,0.108,0.5531,0.0284,57.1,694.31,2.6668,rail
0.1630,0.666,9.728,70.892,1.20422,97.29,0.110,0.5525,0.0286,58.0,694.29,2.6670,rail
0.1640,0.676,9.799,70.874,1.20417,97.26,0.111,0.5518,0.0288,58.8,694.28,2.6672,rail
0.1650,0.686,9.870,70.856,1.20412,97.24,0.113,0.5512,0.0290,59.7,694.26,2.6674,rail
0.1660,0.695,9.941,70.838,1.20408,97.22,0.114,0.5506,0.0292,60.5,694.25,2.6677,rail
0.1670,0.705,10.012,70.820,1.20403,97.19,0.116,0.5500,0.0294,61.4,694.23,2.6679,rail
0.1680,0.716,10.083,70.802,1.20398,97.17,0.117,0.5494,0.0296,62.3,694.22,2.6681,rail
0.1690,0.726,10.153,70.783,1.20394,97.14,0.119,0.5488,0.0298,63.1,694.20,2.6684,rail
0.1700,0.736,10.224,70.765,1.20389,97.12,0.120,0.5482,0.0300,64.0,694.19,2.6686,rail
0.1710,0.746,10.295,70.747,1.20385,97.10,0.122,0.5476,0.0303,64.9,694.17,2.6688,rail
0.1720,0.756,10.366,70.729,1.20380,97.07,0.123,0.5470,0.0305,65.8,694.16,2.6691,rail
0.1730,0.767,10.436,70.711,1.20375,97.05,0.125,0.5464,0.0307,66.7,694.14,2.6693,rail
0.1740,0.777,10.507,70.693,1.20371,97.02,0.126,0.5459,0.0309,67.6,694.13,2.6695,rail
0.1750,0.788,10.578,70.675,1.20366,97.00,0.128,0.5453,0.0311,68.5,694.11,2.6698,rail
0.1760,0.798,10.648,70.656,1.20362,96.98,0.129,0.5447,0.0313,69.4,694.10,2.6700,rail
0.1770,0.809,10.719,70.638,1.20357,96.95,0.131,0.5442,0.0315,70.4,694.08,2.6702,rail
0.1780,0.820,10.790,70.620,1.20352,96.93,0.133,0.5436,0.0317,71.3,694.07,2.6704,rail
0.1790,0.831,10.860,70.602,1.20348,96.90,0.134,0.5431,0.0319,72.2,694.05,2.6707,rail
0.1800,0.842,10.931,70.584,1.20343,96.88,0.136,0.5425,0.0321,73.2,694.04,2.6709,rail
0.1810,0.853,11.001,70.565,1.20338,96.86,0.137,0.5420,0.0323,74.1,694.02,2.6711,rail
0.1820,0.864,11.072,70.547,1.20334,96.83,0.139,0.5414,0.0325,75.1,694.00,2.6714,rail
0.1830,0.875,11.143,70.529,1.20329,96.81,0.141,0.5409,0.0327,76.0,693.99,2.6716,rail
0.1840,0.886,11.213,70.511,1.20325,96.78,0.142,0.5404,0.0330,77.0,693.97,2.6718,rail
0.1850,0.897,11.284,70.492,1.20320,96.76,0.144,0.5398,0.0332,78.0,693.96,2.6721,rail
0.1860,0.908,11.354,70.474,1.20315,96.74,0.146,0.5393,0.0334,79.0,693.94,2.6723,rail
0.1870,0.920,11.425,70.456,1.20311,96.71,0.147,0.5388,0.0336,79.9,693.93,2.6725,rail
0.1880,0.931,11.495,70.438,1.20306,96.69,0.149,0.5383,0.0338,80.9,693.91,2.6728,rail
0.1890,0.943,11.565,70.419,1.20302,96.66,0.151,0.5378,0.0340,81.9,693.90,2.6730,rail
0.1900,0.954,11.636,70.401,1.20297,96.64,0.152,0.5373,0.0342,82.9,693.88,2.6732,rail
0.1910,0.966,11.706,70.383,1.20293,96.62,0.154,0.5368,0.0344,83.9,693.87,2.6734,rail
0.1920,0.978,11.777,70.364,1.20288,96.59,0.156,0.5363,0.0346,84.9,693.85,2.6737,powered
0.1930,0.990,11.847,70.346,1.20283,96.57,0.158,0.5358,0.0348,86.0,693.84,2.6739,powered
0.1940,1.002,11.917,70.328,1.20279,96.54,0.159,0.5353,0.0350,87.0,693.82,2.6741,powered
0.1950,1.013,11.988,70.309,1.20274,96.52,0.161,0.5348,0.0352,88.0,693.81,2.6744,powered
0.1960,1.026,12.058,70.291,1.20270,96.50,0.163,0.5343,0.0354,89.0,693.79,2.6746,powered
0.1970,1.038,12.128,70.273,1.20265,96.47,0.165,0.5338,0.0356,90.1,693.78,2.6748,powered
0.1980,1.050,12.198,70.254,1.20260,96.45,0.166,0.5334,0.0358,91.1,693.76,2.6750,powered
0.1990,1.062,12.269,70.236,1.20256,96.42,0.168,0.5329,0.0361,92.2,693.75,2.6753,powered
0.2000,1.074,12.339,70.218,1.20251,96.40,0.170,0.5324,0.0363,93.2,693.73,2.6755,powered
0.2010,1.087,12.409,70.199,1.20247,96.38,0.172,0.5320,0.0365,94.3,693.72,2.6757,powered
0.2020,1.099,12.479,70.181,1.20242,96.35,0.173,0.5315,0.0367,95.4,693.70,2.6760,powered
0.2030,1.112,12.550,70.162,1.20238,96.33,0.175,0.5310,0.0369,96.5,693.69,2.6762,powered
0.2040,1.124,12.620,70.144,1.20233,96.30,0.177,0.5306,0.0371,97.5,693.67,2.6764,powered
0.2050,1.137,12.690,70.126,1.20228,96.28,0.179,0.5301,0.0373,98.6,693.66,2.6767,powered
0.2060,1.150,12.760,70.107,1.20224,96.26,0.181,0.5297,0.0375,99.7,693.64,2.6769,powered
0.2070,1.162,12.830,70.089,1.20219,96.23,0.183,0.5292,0.0377,100.8,693.63,2.6771,powered
0.2080,1.175,12.900,70.070,1.20215,96.21,0.184,0.5288,0.0379,101.9,693.61,2.6773,powered
0.2090,1.188,12.970,70.052,1.20210,96.18,0.186,0.5283,0.0381,103.0,693.60,2.6776,powered
0.2100,1.201,13.040,70.033,1.20205,96.16,0.188,0.5279,0.0383,104.1,693.58,2.6778,powered
0.2110,1.214,13.110,70.015,1.20201,96.14,0.190,0.5275,0.0385,105.3,693.57,2.6780,powered
0.2120,1.227,13.180,69.996,1.20196,96.11,0.192,0.5270,0.0387,106.4,693.55,2.6783,powered
0.2130,1.241,13.250,69.978,1.20192,96.09,0.194,0.5266,0.0389,107.5,693.53,2.6785,powered
0.2140,1.254,13.320,69.959,1.20187,96.06,0.196,0.5262,0.0391,108.7,693.52,2.6787,powered
0.2150,1.267,13.390,69.941,1.20183,96.04,0.198,0.5258,0.0393,109.8,693.50,2.6789,powered
0.2160,1.281,13.460,69.922,1.20178,96.02,0.199,0.5253,0.0396,111.0,693.49,2.6792,powered
0.2170,1.294,13.530,69.904,1.20174,95.99,0.201,0.5249,0.0398,112.1,693.47,2.6794,powered
0.2180,1.308,13.600,69.885,1.20169,95.97,0.203,0.5245,0.0400,113.3,693.46,2.6796,powered
0.2190,1.321,13.670,69.867,1.20164,95.94,0.205,0.5241,0.0402,114.4,693.44,2.6799,powered
0.2200,1.335,13.740,69.848,1.20160,95.92,0.207,0.5237,0.0404,115.6,693.43,2.6801,powered
0.2210,1.349,13.809,69.829,1.20155,95.90,0.209,0.5233,0.0406,116.8,693.41,2.6803,powered
0.2220,1.363,13.879,69.811,1.20151,95.87,0.211,0.5229,0.0408,118.0,693.40,2.6805,powered
0.2230,1.377,13.949,69.792,1.20146,95.85,0.213,0.5225,0.0410,119.2,693.38,2.6808,powered
0.2240,1.391,14.019,69.774,1.20142,95.82,0.215,0.5221,0.0412,120.4,693.37,2.6810,powered
0.2250,1.405,14.089,69.755,1.20137,95.80,0.217,0.5217,0.0414,121.6,693.35,2.6812,powered
0.2260,1.419,14.158,69.736,1.20133,95.78,0.219,0.5213,0.0416,122.8,693.34,2.6815,powered
0.2270,1.433,14.228,69.718,1.20128,95.75,0.221,0.5209,0.0418,124.0,693.32,2.6817,powered
0.2280,1.447,14.298,69.699,1.20123,95.73,0.223,0.5205,0.0420,125.2,693.31,2.6819,powered
0.2290,1.462,14.367,69.680,1.20119,95.70,0.225,0.5201,0.0422,126.4,693.29,2.6821,powered
0.2300,1.476,14.437,69.662,1.20114,95.68,0.227,0.5197,0.0424,127.6,693.28,2.6824,powered
0.2310,1.490,14.507,69.643,1.20110,95.66,0.229,0.5194,0.0426,128.9,693.26,2.6826,powered
0.2320,1.505,14.576,69.624,1.20105,95.63,0.231,0.5190,0.0428,130.1,693.25,2.6828,powered
0.2330,1.520,14.646,69.606,1.20101,95.61,0.233,0.5186,0.0430,131.4,693.23,2.6831,powered
0.2340,1.534,14.716,69.587,1.20096,95.58,0.235,0.5182,0.0432,132.6,693.22,2.6833,powered
0.2350,1.549,14.785,69.568,1.20092,95.56,0.237,0.5178,0.0434,133.9,693.20,2.6835,powered
0.2360,1.564,14.855,69.550,1.20087,95.54,0.239,0.5175,0.0437,135.1,693.19,2.6837,powered
0.2370,1.579,14.924,69.531,1.20083,95.51,0.241,0.5171,0.0439,136.4,693.17,2.6840,powered
0.2380,1.594,14.994,69.512,1.20078,95.49,0.243,0.5167,0.0441,137.7,693.16,2.6842,powered
0.2390,1.609,15.063,69.494,1.20073,95.46,0.245,0.5164,0.0443,139.0,693.14,2.6844,powered
0.2400,1.624,15.133,69.475,1.20069,95.44,0.248,0.5160,0.0445,140.2,693.13,2.6847,powered
0.2410,1.639,15.202,69.456,1.20064,95.42,0.250,0.5157,0.0447,141.5,693.11,2.6849,powered
0.2420,1.654,15.272,69.437,1.20060,95.39,0.252,0.5153,0.0449,142.8,693.10,2.6851,powered
0.2430,1.670,15.341,69.419,1.20055,95.37,0.254,0.5149,0.0451,144.1,693.08,2.6853,powered
0.2440,1.685,15.411,69.400,1.20051,95.34,0.256,0.5146,0.0453,145.4,693.07,2.6856,powered
0.2450,1.700,15.480,69.381,1.20046,95.32,0.258,0.5142,0.0455,146.7,693.05,2.6858,powered
0.2460,1.716,15.549,69.362,1.20042,95.30,0.260,0.5139,0.0457,148.1,693.04,2.6860,powered
0.2470,1.731,15.619,69.343,1.20037,95.27,0.262,0.5135,0.0459,149.4,693.02,2.6863,powered
